==============================================================================
 ESQUEMA DE BASE DE DATOS - ARTESA PRODUCCION
 Base de datos : artesa_produccion
 Host          : artesa-produccion-db.csbsswgcszct.us-east-1.rds.amazonaws.com:5432
 Generado      : 2026-07-02 14:19:05
==============================================================================

------------------------------------------------------------------------------
 1. TABLAS Y COLUMNAS
------------------------------------------------------------------------------
              table_name              |             column_name              |          data_type          | character_maximum_length | numeric_precision | numeric_scale | is_nullable |                     column_default                     | ordinal_position 
 v_productividad_usuarios             | nombre_completo                      | character varying           |                      100 |                   |               | YES         |                                                        |                2
 v_productividad_usuarios             | rol                                  | character varying           |                       20 |                   |               | YES         |                                                        |                3
 v_productividad_usuarios             | ordenes_trabajadas                   | bigint                      |                          |                64 |             0 | YES         |                                                        |                4
 v_productividad_usuarios             | ordenes_completadas                  | bigint                      |                          |                64 |             0 | YES         |                                                        |                5
 v_productividad_usuarios             | eficiencia_promedio                  | numeric                     |                          |                   |               | YES         |                                                        |                6
 v_productividad_usuarios             | total_producido                      | numeric                     |                          |                   |               | YES         |                                                        |                7
(766 rows)


------------------------------------------------------------------------------
 2. LLAVES PRIMARIAS
------------------------------------------------------------------------------
         table_name         | column_name |         constraint_name         
----------------------------+-------------+---------------------------------
 amasadoras                 | id          | amasadoras_pkey
 auditoria                  | id          | auditoria_pkey
 auditoria_cambios          | id          | auditoria_cambios_pkey
 auditoria_modificaciones   | id          | auditoria_modificaciones_pkey
 catalogo_productos         | id          | catalogo_productos_pkey
 catalogo_tipos_masa        | id          | catalogo_tipos_masa_pkey
 configuracion_etiqueta     | id          | configuracion_etiqueta_pkey
 configuracion_sistema      | id          | configuracion_sistema_pkey
 control_calidad            | id          | control_calidad_pkey
 costos_masa                | id          | costos_masa_pkey
 empaque_consumo_materiales | id          | empaque_consumo_materiales_pkey
 empaque_detalles           | id          | empaque_detalles_pkey
 empaque_por_masa           | id          | empaque_por_masa_pkey
 especificaciones_formado   | id          | especificaciones_formado_pkey
 etapas_proceso             | id          | etapas_proceso_pkey
 ingredientes_masa          | id          | ingredientes_masa_pkey
 lotes                      | id          | lotes_pkey
 maquinas_corte             | id          | maquinas_corte_pkey
 maquinas_formado           | id          | maquinas_formado_pkey
 masas_produccion           | id          | masas_produccion_pkey
 notificaciones_empaque     | id          | notificaciones_empaque_pkey
 orden_masa_relacion        | id          | orden_masa_relacion_pkey
 orden_productos            | id          | orden_productos_pkey
 ordenes_produccion         | id          | ordenes_produccion_pkey
 pesaje_lotes_consumo       | id          | pesaje_lotes_consumo_pkey
 productos_por_masa         | id          | productos_por_masa_pkey
 productos_por_masa_ov      | id          | productos_por_masa_ov_pkey
 programas_horneo           | id          | programas_horneo_pkey
 progreso_fases             | id          | progreso_fases_pkey
 receta_ingredientes        | id          | receta_ingredientes_pkey
 recetas                    | id          | recetas_pkey
 registros_amasado          | id          | registros_amasado_pkey
 registros_division         | id          | registros_division_pkey
 registros_empaque          | id          | registros_empaque_pkey
 registros_fermentacion     | id          | registros_fermentacion_pkey
 registros_formado          | id          | registros_formado_pkey
 registros_horneado         | id          | registros_horneado_pkey
 registros_mano_obra        | id          | registros_mano_obra_pkey
 sap_articulos              | item_code   | sap_articulos_pkey
 sap_bom_componentes        | id          | sap_bom_componentes_pkey
 sap_inventario_mp          | id          | sap_inventario_mp_pkey
 sap_lotes_mp               | id          | sap_lotes_mp_pkey
 sap_sync_log               | id          | sap_sync_log_pkey
 sincronizaciones_sap       | id          | sincronizaciones_sap_pkey
 tipos_horno                | id          | tipos_horno_pkey
 tipos_mano_obra            | id          | tipos_mano_obra_pkey
 usuarios                   | id          | usuarios_pkey
 usuarios_sesiones          | id          | usuarios_sesiones_pkey
(48 rows)


------------------------------------------------------------------------------
 3. LLAVES FORANEAS (FOREIGN KEYS)
------------------------------------------------------------------------------
        tabla_origen        |        columna_origen        |  tabla_referenciada   | columna_referenciada |                  constraint_name                   | update_rule | delete_rule 
----------------------------+------------------------------+-----------------------+----------------------+----------------------------------------------------+-------------+-------------
 auditoria                  | usuario_id                   | usuarios              | id                   | auditoria_usuario_id_fkey                          | NO ACTION   | NO ACTION
 auditoria_cambios          | masa_id                      | masas_produccion      | id                   | auditoria_cambios_masa_id_fkey                     | NO ACTION   | CASCADE
 auditoria_cambios          | usuario_id                   | usuarios              | id                   | auditoria_cambios_usuario_id_fkey                  | NO ACTION   | NO ACTION
 auditoria_modificaciones   | masa_id                      | masas_produccion      | id                   | auditoria_modificaciones_masa_id_fkey              | NO ACTION   | NO ACTION
 auditoria_modificaciones   | usuario_id                   | usuarios              | id                   | auditoria_modificaciones_usuario_id_fkey           | NO ACTION   | NO ACTION
 configuracion_sistema      | actualizado_por              | usuarios              | id                   | configuracion_sistema_actualizado_por_fkey         | NO ACTION   | NO ACTION
 control_calidad            | etapa_id                     | etapas_proceso        | id                   | control_calidad_etapa_id_fkey                      | NO ACTION   | CASCADE
 control_calidad            | orden_id                     | ordenes_produccion    | id                   | control_calidad_orden_id_fkey                      | NO ACTION   | CASCADE
 control_calidad            | usuario_id                   | usuarios              | id                   | control_calidad_usuario_id_fkey                    | NO ACTION   | NO ACTION
 costos_masa                | masa_id                      | masas_produccion      | id                   | costos_masa_masa_id_fkey                           | NO ACTION   | CASCADE
 empaque_consumo_materiales | masa_id                      | masas_produccion      | id                   | empaque_consumo_materiales_masa_id_fkey            | NO ACTION   | CASCADE
 empaque_consumo_materiales | producto_masa_id             | productos_por_masa    | id                   | empaque_consumo_materiales_producto_masa_id_fkey   | NO ACTION   | CASCADE
 empaque_detalles           | empaque_id                   | registros_empaque     | id                   | empaque_detalles_empaque_id_fkey                   | NO ACTION   | CASCADE
 empaque_detalles           | ppm_ov_id                    | productos_por_masa_ov | id                   | empaque_detalles_ppm_ov_id_fkey                    | NO ACTION   | SET NULL
 empaque_detalles           | producto_masa_id             | productos_por_masa    | id                   | empaque_detalles_producto_masa_id_fkey             | NO ACTION   | CASCADE
 empaque_detalles           | sub_masa_id                  | masas_produccion      | id                   | empaque_detalles_sub_masa_id_fkey                  | NO ACTION   | NO ACTION
 empaque_por_masa           | masa_id                      | masas_produccion      | id                   | empaque_por_masa_masa_id_fkey                      | NO ACTION   | CASCADE
 etapas_proceso             | aprobado_por                 | usuarios              | id                   | etapas_proceso_aprobado_por_fkey                   | NO ACTION   | NO ACTION
 etapas_proceso             | orden_id                     | ordenes_produccion    | id                   | etapas_proceso_orden_id_fkey                       | NO ACTION   | CASCADE
 etapas_proceso             | usuario_id                   | usuarios              | id                   | etapas_proceso_usuario_id_fkey                     | NO ACTION   | NO ACTION
 ingredientes_masa          | masa_id                      | masas_produccion      | id                   | ingredientes_masa_masa_id_fkey                     | NO ACTION   | CASCADE
 ingredientes_masa          | usuario_peso                 | usuarios              | id                   | ingredientes_masa_usuario_peso_fkey                | NO ACTION   | NO ACTION
 lotes                      | orden_id                     | ordenes_produccion    | id                   | lotes_orden_id_fkey                                | NO ACTION   | NO ACTION
 masas_produccion           | aprobado_por                 | usuarios              | id                   | masas_produccion_aprobado_por_fkey                 | NO ACTION   | NO ACTION
 masas_produccion           | created_by                   | usuarios              | id                   | masas_produccion_created_by_fkey                   | NO ACTION   | NO ACTION
 masas_produccion           | masa_adicional_referencia_id | masas_produccion      | id                   | masas_produccion_masa_adicional_referencia_id_fkey | NO ACTION   | NO ACTION
 masas_produccion           | masa_padre_id                | masas_produccion      | id                   | masas_produccion_masa_padre_id_fkey                | NO ACTION   | NO ACTION
 notificaciones_empaque     | enviado_por                  | usuarios              | id                   | notificaciones_empaque_enviado_por_fkey            | NO ACTION   | NO ACTION
 notificaciones_empaque     | masa_id                      | masas_produccion      | id                   | notificaciones_empaque_masa_id_fkey                | NO ACTION   | CASCADE
 orden_masa_relacion        | masa_id                      | masas_produccion      | id                   | orden_masa_relacion_masa_id_fkey                   | NO ACTION   | CASCADE
 orden_productos            | orden_id                     | ordenes_produccion    | id                   | orden_productos_orden_id_fkey                      | NO ACTION   | CASCADE
 ordenes_produccion         | usuario_cierre               | usuarios              | id                   | ordenes_produccion_usuario_cierre_fkey             | NO ACTION   | NO ACTION
 ordenes_produccion         | usuario_inicio               | usuarios              | id                   | ordenes_produccion_usuario_inicio_fkey             | NO ACTION   | NO ACTION
 pesaje_lotes_consumo       | ingrediente_id               | ingredientes_masa     | id                   | pesaje_lotes_consumo_ingrediente_id_fkey           | NO ACTION   | CASCADE
 pesaje_lotes_consumo       | masa_id                      | masas_produccion      | id                   | pesaje_lotes_consumo_masa_id_fkey                  | NO ACTION   | CASCADE
 pesaje_lotes_consumo       | usuario_id                   | usuarios              | id                   | pesaje_lotes_consumo_usuario_id_fkey               | NO ACTION   | NO ACTION
 productos_por_masa         | masa_id                      | masas_produccion      | id                   | productos_por_masa_masa_id_fkey                    | NO ACTION   | CASCADE
 productos_por_masa_ov      | masa_id                      | masas_produccion      | id                   | productos_por_masa_ov_masa_id_fkey                 | NO ACTION   | CASCADE
 productos_por_masa_ov      | producto_masa_id             | productos_por_masa    | id                   | productos_por_masa_ov_producto_masa_id_fkey        | NO ACTION   | CASCADE
 progreso_fases             | masa_id                      | masas_produccion      | id                   | progreso_fases_masa_id_fkey                        | NO ACTION   | CASCADE
 progreso_fases             | usuario_responsable          | usuarios              | id                   | progreso_fases_usuario_responsable_fkey            | NO ACTION   | NO ACTION
 receta_ingredientes        | receta_id                    | recetas               | id                   | receta_ingredientes_receta_id_fkey                 | NO ACTION   | CASCADE
 recetas                    | actualizado_por              | usuarios              | id                   | recetas_actualizado_por_fkey                       | NO ACTION   | NO ACTION
 recetas                    | creado_por                   | usuarios              | id                   | recetas_creado_por_fkey                            | NO ACTION   | NO ACTION
 registros_amasado          | amasadora_id                 | amasadoras            | id                   | registros_amasado_amasadora_id_fkey                | NO ACTION   | NO ACTION
 registros_amasado          | masa_id                      | masas_produccion      | id                   | registros_amasado_masa_id_fkey                     | NO ACTION   | CASCADE
 registros_amasado          | usuario_id                   | usuarios              | id                   | registros_amasado_usuario_id_fkey                  | NO ACTION   | NO ACTION
 registros_division         | maquina_corte_id             | maquinas_corte        | id                   | registros_division_maquina_corte_id_fkey           | NO ACTION   | NO ACTION
 registros_division         | masa_id                      | masas_produccion      | id                   | registros_division_masa_id_fkey                    | NO ACTION   | CASCADE
 registros_division         | usuario_id                   | usuarios              | id                   | registros_division_usuario_id_fkey                 | NO ACTION   | NO ACTION
 registros_empaque          | masa_id                      | masas_produccion      | id                   | registros_empaque_masa_id_fkey                     | NO ACTION   | CASCADE
 registros_empaque          | usuario_id                   | usuarios              | id                   | registros_empaque_usuario_id_fkey                  | NO ACTION   | NO ACTION
 registros_fermentacion     | masa_id                      | masas_produccion      | id                   | registros_fermentacion_masa_id_fkey                | NO ACTION   | CASCADE
 registros_fermentacion     | usuario_id                   | usuarios              | id                   | registros_fermentacion_usuario_id_fkey             | NO ACTION   | NO ACTION
 registros_formado          | maquina_formado_id           | maquinas_formado      | id                   | registros_formado_maquina_formado_id_fkey          | NO ACTION   | NO ACTION
 registros_formado          | masa_id                      | masas_produccion      | id                   | registros_formado_masa_id_fkey                     | NO ACTION   | CASCADE
 registros_formado          | usuario_id                   | usuarios              | id                   | registros_formado_usuario_id_fkey                  | NO ACTION   | NO ACTION
 registros_horneado         | masa_id                      | masas_produccion      | id                   | registros_horneado_masa_id_fkey                    | NO ACTION   | CASCADE
 registros_horneado         | programa_horneo_id           | programas_horneo      | id                   | registros_horneado_programa_horneo_id_fkey         | NO ACTION   | NO ACTION
 registros_horneado         | tipo_horno_id                | tipos_horno           | id                   | registros_horneado_tipo_horno_id_fkey              | NO ACTION   | NO ACTION
 registros_horneado         | usuario_id                   | usuarios              | id                   | registros_horneado_usuario_id_fkey                 | NO ACTION   | NO ACTION
 registros_mano_obra        | masa_id                      | masas_produccion      | id                   | registros_mano_obra_masa_id_fkey                   | NO ACTION   | CASCADE
 registros_mano_obra        | tipo_mo_id                   | tipos_mano_obra       | id                   | registros_mano_obra_tipo_mo_id_fkey                | NO ACTION   | NO ACTION
 registros_mano_obra        | usuario_id                   | usuarios              | id                   | registros_mano_obra_usuario_id_fkey                | NO ACTION   | NO ACTION
 sap_sync_log               | orden_id                     | ordenes_produccion    | id                   | sap_sync_log_orden_id_fkey                         | NO ACTION   | NO ACTION
 sap_sync_log               | usuario_id                   | usuarios              | id                   | sap_sync_log_usuario_id_fkey                       | NO ACTION   | NO ACTION
 usuarios                   | actualizado_por              | usuarios              | id                   | usuarios_actualizado_por_fkey                      | NO ACTION   | NO ACTION
 usuarios                   | creado_por                   | usuarios              | id                   | usuarios_creado_por_fkey                           | NO ACTION   | NO ACTION
 usuarios_sesiones          | usuario_id                   | usuarios              | id                   | usuarios_sesiones_usuario_id_fkey                  | NO ACTION   | CASCADE
(69 rows)


------------------------------------------------------------------------------
 4. INDICES
------------------------------------------------------------------------------
 schemaname |         tablename          |                       indexname                        |                                                                                                                                                                                 indexdef                                                                                                                                                                                  
------------+----------------------------+--------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 public     | amasadoras                 | amasadoras_nombre_key                                  | CREATE UNIQUE INDEX amasadoras_nombre_key ON public.amasadoras USING btree (nombre)
 public     | amasadoras                 | amasadoras_pkey                                        | CREATE UNIQUE INDEX amasadoras_pkey ON public.amasadoras USING btree (id)
 public     | amasadoras                 | amasadoras_uuid_key                                    | CREATE UNIQUE INDEX amasadoras_uuid_key ON public.amasadoras USING btree (uuid)
 public     | auditoria                  | auditoria_pkey                                         | CREATE UNIQUE INDEX auditoria_pkey ON public.auditoria USING btree (id)
 public     | auditoria                  | auditoria_uuid_key                                     | CREATE UNIQUE INDEX auditoria_uuid_key ON public.auditoria USING btree (uuid)
 public     | auditoria                  | idx_auditoria_accion                                   | CREATE INDEX idx_auditoria_accion ON public.auditoria USING btree (accion)
 public     | auditoria                  | idx_auditoria_fecha                                    | CREATE INDEX idx_auditoria_fecha ON public.auditoria USING btree (fecha)
 public     | auditoria                  | idx_auditoria_registro                                 | CREATE INDEX idx_auditoria_registro ON public.auditoria USING btree (registro_id)
 public     | auditoria                  | idx_auditoria_tabla                                    | CREATE INDEX idx_auditoria_tabla ON public.auditoria USING btree (tabla)
 public     | auditoria                  | idx_auditoria_usuario                                  | CREATE INDEX idx_auditoria_usuario ON public.auditoria USING btree (usuario_id)
 public     | auditoria_cambios          | auditoria_cambios_pkey                                 | CREATE UNIQUE INDEX auditoria_cambios_pkey ON public.auditoria_cambios USING btree (id)
 public     | auditoria_cambios          | auditoria_cambios_uuid_key                             | CREATE UNIQUE INDEX auditoria_cambios_uuid_key ON public.auditoria_cambios USING btree (uuid)
 public     | auditoria_cambios          | idx_auditoria_cambios_fecha                            | CREATE INDEX idx_auditoria_cambios_fecha ON public.auditoria_cambios USING btree (fecha_cambio)
 public     | auditoria_cambios          | idx_auditoria_cambios_masa_id                          | CREATE INDEX idx_auditoria_cambios_masa_id ON public.auditoria_cambios USING btree (masa_id)
 public     | auditoria_cambios          | idx_auditoria_cambios_registro_id                      | CREATE INDEX idx_auditoria_cambios_registro_id ON public.auditoria_cambios USING btree (registro_id)
 public     | auditoria_cambios          | idx_auditoria_cambios_tabla                            | CREATE INDEX idx_auditoria_cambios_tabla ON public.auditoria_cambios USING btree (tabla)
 public     | auditoria_cambios          | idx_auditoria_cambios_usuario_id                       | CREATE INDEX idx_auditoria_cambios_usuario_id ON public.auditoria_cambios USING btree (usuario_id)
 public     | auditoria_cambios          | idx_auditoria_operacion                                | CREATE INDEX idx_auditoria_operacion ON public.auditoria_cambios USING btree (operacion, fecha_cambio DESC)
 public     | auditoria_cambios          | idx_auditoria_tabla_fecha                              | CREATE INDEX idx_auditoria_tabla_fecha ON public.auditoria_cambios USING btree (tabla, fecha_cambio DESC)
 public     | auditoria_cambios          | idx_auditoria_usuario_fecha                            | CREATE INDEX idx_auditoria_usuario_fecha ON public.auditoria_cambios USING btree (usuario_id, fecha_cambio DESC) WHERE (usuario_id IS NOT NULL)
 public     | auditoria_modificaciones   | auditoria_modificaciones_pkey                          | CREATE UNIQUE INDEX auditoria_modificaciones_pkey ON public.auditoria_modificaciones USING btree (id)
 public     | auditoria_modificaciones   | idx_auditoria_masa_id                                  | CREATE INDEX idx_auditoria_masa_id ON public.auditoria_modificaciones USING btree (masa_id)
 public     | auditoria_modificaciones   | idx_auditoria_tabla_registro                           | CREATE INDEX idx_auditoria_tabla_registro ON public.auditoria_modificaciones USING btree (tabla, registro_id)
 public     | auditoria_modificaciones   | idx_auditoria_usuario_id                               | CREATE INDEX idx_auditoria_usuario_id ON public.auditoria_modificaciones USING btree (usuario_id)
 public     | catalogo_productos         | catalogo_productos_codigo_producto_key                 | CREATE UNIQUE INDEX catalogo_productos_codigo_producto_key ON public.catalogo_productos USING btree (codigo_producto)
 public     | catalogo_productos         | catalogo_productos_pkey                                | CREATE UNIQUE INDEX catalogo_productos_pkey ON public.catalogo_productos USING btree (id)
