        table_name        |             column_name              |          data_type          | character_maximum_length | numeric_precision | numeric_scale | is_nullable |                    column_default                     | ordinal_position 
 registros_mano_obra      | costo_calculado                      | numeric                     |                          |                14 |             4 | NO          | 0                                                     |                6
 registros_mano_obra      | observaciones                        | text                        |                          |                   |               | YES         |                                                       |                7
 registros_mano_obra      | usuario_id                           | integer                     |                          |                32 |             0 | YES         |                                                       |                8
 registros_mano_obra      | created_at                           | timestamp without time zone |                          |                   |               | YES         | now()                                                 |                9
 sap_articulos            | item_code                            | character varying           |                       50 |                   |               | NO          |                                                       |                1
 sap_articulos            | item_name                            | character varying           |                      200 |                   |               | NO          |                                                       |                2
 sap_articulos            | tipo_masa                            | character varying           |                      100 |                   |               | YES         |                                                       |                3
 sap_articulos            | sales_qty_per_pack                   | numeric                     |                          |                10 |             4 | YES         | 1                                                     |                4
 sap_articulos            | gramaje                              | numeric                     |                          |                10 |             4 | YES         | 0                                                     |                5
 sap_articulos            | activo                               | boolean                     |                          |                   |               | YES         | true                                                  |                6
 sap_articulos            | synced_at                            | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |                7
 sap_articulos            | created_at                           | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |                8
 sap_articulos            | updated_at                           | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |                9
 sap_articulos            | multiplo_divisor                     | integer                     |                          |                32 |             0 | NO          | 0                                                     |               10
 sap_bom_componentes      | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('sap_bom_componentes_id_seq'::regclass)       |                1
 sap_bom_componentes      | item_code_padre                      | character varying           |                       50 |                   |               | NO          |                                                       |                2
 sap_bom_componentes      | item_code_comp                       | character varying           |                       50 |                   |               | NO          |                                                       |                3
 sap_bom_componentes      | item_name_comp                       | character varying           |                      200 |                   |               | NO          |                                                       |                4
 sap_bom_componentes      | cantidad                             | numeric                     |                          |                14 |             6 | NO          |                                                       |                5
 sap_bom_componentes      | warehouse                            | character varying           |                       20 |                   |               | YES         |                                                       |                6
 sap_bom_componentes      | issue_method                         | character varying           |                       30 |                   |               | YES         |                                                       |                7
 sap_bom_componentes      | visual_order                         | integer                     |                          |                32 |             0 | YES         | 0                                                     |                8
 sap_bom_componentes      | synced_at                            | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |                9
 sap_bom_componentes      | created_at                           | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               10
 sap_bom_componentes      | uom                                  | character varying           |                       20 |                   |               | YES         |                                                       |               11
 sap_bom_componentes      | grupo_sap                            | integer                     |                          |                32 |             0 | YES         |                                                       |               12
 sap_bom_componentes      | es_empaque                           | boolean                     |                          |                   |               | YES         | false                                                 |               13
 sap_inventario_mp        | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('sap_inventario_mp_id_seq'::regclass)         |                1
 sap_inventario_mp        | item_code                            | character varying           |                       50 |                   |               | NO          |                                                       |                2
 sap_inventario_mp        | item_name                            | character varying           |                      200 |                   |               | YES         |                                                       |                3
 sap_inventario_mp        | uom                                  | character varying           |                       20 |                   |               | YES         |                                                       |                4
 sap_inventario_mp        | stock_almp                           | numeric                     |                          |                12 |             3 | YES         | 0                                                     |                5
 sap_inventario_mp        | committed_almp                       | numeric                     |                          |                12 |             3 | YES         | 0                                                     |                6
 sap_inventario_mp        | ordered_almp                         | numeric                     |                          |                12 |             3 | YES         | 0                                                     |                7
 sap_inventario_mp        | costo_promedio                       | numeric                     |                          |                12 |             4 | YES         | 0                                                     |                8
 sap_inventario_mp        | ultimo_sync                          | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |                9
 sap_inventario_mp        | manage_batch_numbers                 | boolean                     |                          |                   |               | YES         | false                                                 |               10
 sap_inventario_mp        | costo_unitario                       | numeric                     |                          |                14 |             4 | YES         | 0                                                     |               11
 sap_lotes_mp             | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('sap_lotes_mp_id_seq'::regclass)              |                1
 sap_lotes_mp             | item_code                            | character varying           |                       50 |                   |               | NO          |                                                       |                2
 sap_lotes_mp             | item_name                            | character varying           |                      200 |                   |               | YES         |                                                       |                3
 sap_lotes_mp             | batch                                | character varying           |                      100 |                   |               | NO          |                                                       |                4
 sap_lotes_mp             | status                               | character varying           |                       50 |                   |               | YES         |                                                       |                5
 sap_lotes_mp             | admission_date                       | date                        |                          |                   |               | YES         |                                                       |                6
 sap_lotes_mp             | manufacturing_date                   | date                        |                          |                   |               | YES         |                                                       |                7
 sap_lotes_mp             | expiration_date                      | date                        |                          |                   |               | YES         |                                                       |                8
 sap_lotes_mp             | ultimo_sync                          | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |                9
 sap_lotes_mp             | cantidad_disponible                  | numeric                     |                          |                12 |             3 | YES         | 0                                                     |               10
 sap_sync_log             | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('sap_sync_log_id_seq'::regclass)              |                1
 sap_sync_log             | uuid                                 | uuid                        |                          |                   |               | NO          | uuid_generate_v4()                                    |                2
 sap_sync_log             | tipo_operacion                       | character varying           |                       50 |                   |               | NO          |                                                       |                3
 sap_sync_log             | estado                               | character varying           |                       20 |                   |               | NO          |                                                       |                4
 sap_sync_log             | sap_docentry                         | integer                     |                          |                32 |             0 | YES         |                                                       |                5
 sap_sync_log             | sap_docnum                           | character varying           |                       20 |                   |               | YES         |                                                       |                6
 sap_sync_log             | orden_id                             | integer                     |                          |                32 |             0 | YES         |                                                       |                7
 sap_sync_log             | request_payload                      | jsonb                       |                          |                   |               | YES         |                                                       |                8
 sap_sync_log             | response_payload                     | jsonb                       |                          |                   |               | YES         |                                                       |                9
 sap_sync_log             | error_message                        | text                        |                          |                   |               | YES         |                                                       |               10
 sap_sync_log             | error_code                           | character varying           |                       50 |                   |               | YES         |                                                       |               11
 sap_sync_log             | tiempo_respuesta                     | integer                     |                          |                32 |             0 | YES         |                                                       |               12
 sap_sync_log             | intentos                             | integer                     |                          |                32 |             0 | YES         | 1                                                     |               13
 sap_sync_log             | fecha_operacion                      | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               14
 sap_sync_log             | usuario_id                           | integer                     |                          |                32 |             0 | YES         |                                                       |               15
 sincronizaciones_sap     | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('sincronizaciones_sap_id_seq'::regclass)      |                1
 sincronizaciones_sap     | fecha_sync                           | timestamp without time zone |                          |                   |               | NO          | now()                                                 |                2
 sincronizaciones_sap     | fecha_produccion                     | date                        |                          |                   |               | NO          |                                                       |                3
 sincronizaciones_sap     | masas_creadas                        | integer                     |                          |                32 |             0 | YES         | 0                                                     |                4
 sincronizaciones_sap     | productos_procesados                 | integer                     |                          |                32 |             0 | YES         | 0                                                     |                5
 sincronizaciones_sap     | estado                               | character varying           |                       20 |                   |               | NO          | 'EXITOSO'::character varying                          |                6
 sincronizaciones_sap     | error_mensaje                        | text                        |                          |                   |               | YES         |                                                       |                7
 sincronizaciones_sap     | created_at                           | timestamp without time zone |                          |                   |               | YES         | now()                                                 |                8
 tipos_horno              | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('tipos_horno_id_seq'::regclass)               |                1
 tipos_horno              | uuid                                 | uuid                        |                          |                   |               | NO          | gen_random_uuid()                                     |                2
 tipos_horno              | nombre                               | character varying           |                      100 |                   |               | NO          |                                                       |                3
 tipos_horno              | codigo                               | character varying           |                       50 |                   |               | NO          |                                                       |                4
 tipos_horno              | tipo                                 | character varying           |                       50 |                   |               | NO          |                                                       |                5
 tipos_horno              | capacidad_bandejas                   | integer                     |                          |                32 |             0 | YES         |                                                       |                6
 tipos_horno              | tiene_damper                         | boolean                     |                          |                   |               | YES         | true                                                  |                7
 tipos_horno              | tiene_control_automatico             | boolean                     |                          |                   |               | YES         | true                                                  |                8
 tipos_horno              | activo                               | boolean                     |                          |                   |               | YES         | true                                                  |                9
 tipos_horno              | observaciones                        | text                        |                          |                   |               | YES         |                                                       |               10
 tipos_horno              | fecha_creacion                       | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               11
 tipos_horno              | fecha_actualizacion                  | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               12
 tipos_mano_obra          | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('tipos_mano_obra_id_seq'::regclass)           |                1
 tipos_mano_obra          | nombre                               | character varying           |                      100 |                   |               | NO          |                                                       |                2
 tipos_mano_obra          | descripcion                          | text                        |                          |                   |               | YES         |                                                       |                3
 tipos_mano_obra          | costo_hora                           | numeric                     |                          |                14 |             2 | NO          | 0                                                     |                4
 tipos_mano_obra          | activo                               | boolean                     |                          |                   |               | YES         | true                                                  |                5
 tipos_mano_obra          | created_at                           | timestamp without time zone |                          |                   |               | YES         | now()                                                 |                6
 tipos_mano_obra          | updated_at                           | timestamp without time zone |                          |                   |               | YES         | now()                                                 |                7
 usuarios                 | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('usuarios_id_seq'::regclass)                  |                1
 usuarios                 | uuid                                 | uuid                        |                          |                   |               | NO          | uuid_generate_v4()                                    |                2
 usuarios                 | username                             | character varying           |                       50 |                   |               | NO          |                                                       |                3
 usuarios                 | email                                | character varying           |                      100 |                   |               | NO          |                                                       |                4
 usuarios                 | password_hash                        | character varying           |                      255 |                   |               | NO          |                                                       |                5
 usuarios                 | nombre_completo                      | character varying           |                      100 |                   |               | NO          |                                                       |                6
 usuarios                 | rol                                  | character varying           |                       20 |                   |               | NO          | 'OPERARIO'::character varying                         |                7
 usuarios                 | activo                               | boolean                     |                          |                   |               | YES         | true                                                  |                8
 usuarios                 | email_verificado                     | boolean                     |                          |                   |               | YES         | false                                                 |                9
 usuarios                 | intentos_fallidos                    | integer                     |                          |                32 |             0 | YES         | 0                                                     |               10
 usuarios                 | bloqueado_hasta                      | timestamp without time zone |                          |                   |               | YES         |                                                       |               11
 usuarios                 | ultimo_acceso                        | timestamp without time zone |                          |                   |               | YES         |                                                       |               12
 usuarios                 | ultimo_cambio_password               | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               13
 usuarios                 | debe_cambiar_password                | boolean                     |                          |                   |               | YES         | false                                                 |               14
 usuarios                 | token_verificacion                   | character varying           |                      255 |                   |               | YES         |                                                       |               15
 usuarios                 | token_recuperacion                   | character varying           |                      255 |                   |               | YES         |                                                       |               16
 usuarios                 | token_recuperacion_expira            | timestamp without time zone |                          |                   |               | YES         |                                                       |               17
 usuarios                 | refresh_token                        | character varying           |                      500 |                   |               | YES         |                                                       |               18
 usuarios                 | refresh_token_expira                 | timestamp without time zone |                          |                   |               | YES         |                                                       |               19
 usuarios                 | metadata                             | jsonb                       |                          |                   |               | YES         | '{}'::jsonb                                           |               20
 usuarios                 | fecha_creacion                       | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               21
 usuarios                 | fecha_actualizacion                  | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               22
 usuarios                 | creado_por                           | integer                     |                          |                32 |             0 | YES         |                                                       |               23
 usuarios                 | actualizado_por                      | integer                     |                          |                32 |             0 | YES         |                                                       |               24
 usuarios_sesiones        | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('usuarios_sesiones_id_seq'::regclass)         |                1
 usuarios_sesiones        | usuario_id                           | integer                     |                          |                32 |             0 | NO          |                                                       |                2
 usuarios_sesiones        | refresh_token                        | text                        |                          |                   |               | NO          |                                                       |                3
 usuarios_sesiones        | expires_at                           | timestamp without time zone |                          |                   |               | NO          |                                                       |                4
 usuarios_sesiones        | revocado                             | boolean                     |                          |                   |               | YES         | false                                                 |                5
 usuarios_sesiones        | created_at                           | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |                6
 usuarios_sesiones        | ip_address                           | inet                        |                          |                   |               | YES         |                                                       |                7
 usuarios_sesiones        | user_agent                           | text                        |                          |                   |               | YES         |                                                       |                8
(648 rows)

